"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-01-01","44","53","35"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-01-02","42","55","28"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-01-03","45","55","34"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-01-04","48","56","39"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-01-05","49","61","36"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-01-06","41","52","29"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-01-07","48","61","35"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-01-08","42","51","33"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-01-09","45","58","32"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-01-10","52","58","45"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-01-11","51","55","47"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-01-12","46","53","39"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-01-13","50","60","39"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-01-14","51","61","40"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-01-15","55","61","48"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-01-16","51","59","42"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-01-17","46","49","43"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-01-18","52","57","47"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-01-19","56","60","52"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-01-20","51","58","43"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-01-21","50","59","41"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-01-22","47","53","40"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-01-23","51","53","49"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-01-24","54","57","50"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-01-25","53","59","46"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-01-26","52","59","44"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-01-27","49","58","40"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-01-28","46","57","35"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-01-29","49","59","39"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-01-30","52","56","48"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-01-31","51","55","47"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-02-01","54","61","47"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-02-02","53","64","42"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-02-03","52","60","44"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-02-04","51","58","44"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-02-05","53","61","44"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-02-06","54","64","43"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-02-07","51","62","40"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-02-08","53","61","44"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-02-09","54","59","48"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-02-10","50","56","44"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-02-11","49","53","44"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-02-12","50","54","46"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-02-13","54","57","50"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-02-14","54","60","48"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-02-15","50","59","40"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-02-16","50","52","48"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-02-17","50","58","42"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-02-18","49","60","38"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-02-19","51","63","39"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-02-20","58","66","50"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-02-21","55","63","47"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-02-22","51","54","48"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-02-23","46","54","38"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-02-24","43","51","35"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-02-25","50","57","42"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-02-26","58","63","52"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-02-27","52","57","47"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-02-28","50","57","43"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-02-29","51","59","43"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-03-01","50","62","38"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-03-02","49","53","45"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-03-03","49","61","37"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-03-04","54","63","44"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-03-05","50","53","47"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-03-06","49","54","44"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-03-07","50","54","45"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-03-08","49","55","42"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-03-09","51","58","44"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-03-10","49","60","38"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-03-11","56","63","49"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-03-12","56","68","43"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-03-13","57","69","44"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-03-14","60","73","47"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-03-15","59","75","43"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-03-16","61","73","49"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-03-17","58","71","44"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-03-18","60","76","43"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-03-19","61","71","51"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-03-20","57","66","48"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-03-21","64","76","51"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-03-22","58","73","42"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-03-23","58","67","48"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-03-24","55","67","42"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-03-25","56","66","45"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-03-26","57","71","43"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-03-27","54","60","47"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-03-28","55","66","43"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-03-29","57","70","43"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-03-30","60","76","44"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-03-31","67","81","53"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-04-01","68","84","52"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-04-02","69","86","51"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-04-03","68","83","53"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-04-04","61","70","51"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-04-05","59","73","45"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-04-06","61","74","48"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-04-07","62","80","43"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-04-08","58","68","47"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-04-09","58","71","45"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-04-10","62","82","42"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-04-11","64","80","48"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-04-12","69","81","56"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-04-13","61","69","52"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-04-14","59","68","50"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-04-15","57","63","51"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-04-16","60","67","52"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-04-17","52","56","48"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-04-18","54","65","42"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-04-19","56","68","43"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-04-20","62","73","50"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-04-21","62","76","47"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-04-22","59","69","49"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-04-23","56","69","43"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-04-24","61","76","45"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-04-25","64","79","48"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-04-26","66","83","48"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-04-27","61","71","51"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-04-28","54","68","40"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-04-29","60","76","44"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-04-30","64","81","46"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-05-01","65","80","50"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-05-02","65","79","51"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-05-03","66","81","50"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-05-04","66","78","54"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-05-05","61","71","51"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-05-06","55","62","48"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-05-07","54","59","49"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-05-08","62","72","52"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-05-09","62","72","51"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-05-10","55","65","45"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-05-11","55","69","40"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-05-12","58","73","43"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-05-13","63","73","52"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-05-14","58","69","47"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-05-15","57","62","51"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-05-16","58","66","49"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-05-17","64","76","51"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-05-18","67","84","50"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-05-19","73","90","55"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-05-20","76","95","57"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-05-21",,"96","61"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-05-22","81","98","63"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-05-23","82","96","67"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-05-24","74","86","61"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-05-25","69","81","57"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-05-26","71","85","56"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-05-27","72","87","56"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-05-28","73","88","58"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-05-29","67","81","53"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-05-30","66","80","51"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-05-31","69","83","54"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-06-01","70","89","51"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-06-02","70","86","54"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-06-03","69","88","50"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-06-04","70","86","53"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-06-05","66","81","51"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-06-06","69","83","54"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-06-07","65","75","55"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-06-08","63","71","55"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-06-09","65","76","53"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-06-10","65","78","52"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-06-11","67","83","51"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-06-12","75","91","59"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-06-13","85","100","69"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-06-14","88","105","70"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-06-15","86","103","68"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-06-16","82","99","64"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-06-17","73","88","58"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-06-18","69","79","58"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-06-19","74","93","54"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-06-20","79","98","59"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-06-21","80","98","62"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-06-22","73","89","57"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-06-23","71","87","54"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-06-24","73","89","56"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-06-25","77","95","58"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-06-26","78","97","59"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-06-27","80","97","63"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-06-28","79","96","62"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-06-29","73","88","57"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-06-30","69","82","55"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-07-01","69","82","55"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-07-02","65","76","54"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-07-03","66","77","54"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-07-04","69","84","53"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-07-05","67","78","55"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-07-06","66","79","53"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-07-07","66","78","54"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-07-08","69","84","54"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-07-09","73","90","55"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-07-10","72","88","56"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-07-11","73","91","55"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-07-12","71","85","56"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-07-13","72","86","57"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-07-14","73","91","55"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-07-15","73","88","57"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-07-16","66","76","56"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-07-17","67","77","56"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-07-18","72","91","53"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-07-19","75","93","57"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-07-20","76","95","56"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-07-21","71","87","55"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-07-22","74","90","57"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-07-23","76","96","55"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-07-24","78","100","56"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-07-25","77","95","59"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-07-26","73","87","59"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-07-27","72","89","54"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-07-28","77","96","58"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-07-29","78","98","58"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-07-30","82","99","64"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-07-31","84","104","63"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-08-01","85","102","68"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-08-02","85","100","69"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-08-03","79","93","65"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-08-04","77","93","60"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-08-05","78","95","60"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-08-06","76","93","58"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-08-07","69","80","57"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-08-08","70","85","55"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-08-09","72","87","56"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-08-10","70","82","57"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-08-11","75","95","54"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-08-12","78","97","59"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-08-13","77","95","59"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-08-14","77","96","58"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-08-15","78","96","59"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-08-16","79","100","57"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-08-17","77","94","60"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-08-18","73","89","57"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-08-19","71","85","56"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-08-20","72","89","55"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-08-21",,"90","57"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-08-22","73","89","57"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-08-23","69","82","56"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-08-24","73","92","54"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-08-25","76","96","55"
